Regulator	Target	MI	pvalue
'hycC'	'hycA'	0.5667214932898054	9.363861686247921E-4
'polB'	'recN'	0.7640673567733396	9.363861686247921E-4
'potD'	'purB'	0.8256280975264709	1.1174648288925226E-6
'ygcO'	'ygcN'	0.8771528238825581	1.1174648288925226E-6
'narK'	'narG'	1.1756565828063217	9.363861686247921E-4
'yjiT'	'yjiV'	0.7227540846352714	1.1174648288925226E-6
'fecI'	'fhuF'	0.9626974012722276	1.1174648288925226E-6
'ysaA'	'yqgA'	0.4999903465125115	9.363861686247921E-4
'ynfE'	'ynfK'	1.1073327505585544	1.1174648288925226E-6
'wzyE'	'rffM'	0.6268048203280221	1.1174648288925226E-6
'livK'	'livJ'	0.8694088343245547	1.1174648288925226E-6
'pgk'	'eno'	0.6765374354339426	1.1174648288925226E-6
'rnhB'	'lpxB'	1.153416160255604	1.1174648288925226E-6
'cheB'	'cheA'	1.3886882102780085	1.1174648288925226E-6
'ilvH'	'aroP'	0.7959907643381785	1.1174648288925226E-6
'rlmG'	'rnpA'	0.6899870640309256	1.1174648288925226E-6
'fliK'	'fliJ'	1.5829025499497302	1.1174648288925226E-6
'yciH'	'pyrF'	1.3146536746096007	1.1174648288925226E-6
'fes'	'fepA'	0.9842969918758502	1.1174648288925226E-6
'frdC'	'frdB'	0.9301938056391374	1.1174648288925226E-6
'livK'	'livM'	1.0227566128353278	1.1174648288925226E-6
'yoeB'	'yeeZ'	0.5356287007635816	1.1174648288925226E-6
'ychF'	'purB'	0.8777203072939659	1.1174648288925226E-6
'pflC'	'yjiL'	0.5548136272107268	9.363861686247921E-4
'yaeQ'	'pdxA'	0.5801268295536888	9.363861686247921E-4
'fes'	'fepC'	1.0607860789628822	1.1174648288925226E-6
'yniC'	'speG'	0.8453821925221868	9.363861686247921E-4
'yigZ'	'pepQ'	0.9503874451991635	9.363861686247921E-4
'sfmC'	'yacH'	0.5903885461928923	9.363861686247921E-4
'yghA'	'yhbO'	0.8405064058023581	1.1174648288925226E-6
'yraP'	'diaA'	0.7033654637814095	1.1174648288925226E-6
'narJ'	'narI'	1.078650277013289	9.363861686247921E-4
'rpoB'	'rpoC'	0.864086727316957	1.1174648288925226E-6
'yccJ'	'osmB'	0.7326033060233543	9.363861686247921E-4
'ygaZ'	'yqjB'	0.812155179290694	9.363861686247921E-4
'yccA'	'htpX'	0.5855193217644876	9.363861686247921E-4
'torZ'	'uidC'	1.0996250879168556	9.363861686247921E-4
'yihN'	'xylE'	0.7165124031393586	1.1174648288925226E-6
'fliK'	'fliL'	1.331144648032608	9.363861686247921E-4
'fliC'	'cheZ'	1.2078097949908964	9.363861686247921E-4
'ynfE'	'ynfF'	1.03897268427634	1.1174648288925226E-6
'yihX'	'fpr'	0.7665972111716286	9.363861686247921E-4
'glpG'	'aroK'	0.8767568780710471	1.1174648288925226E-6
'trxA'	'trkH'	0.9363460045539173	9.363861686247921E-4
'accB'	'priB'	0.7889758946007674	9.363861686247921E-4
'yeiL'	'wcaF'	0.761809571026947	9.363861686247921E-4
'yeiS'	'sanA'	0.5943241266411925	1.1174648288925226E-6
'trpH'	'narX'	0.6497829162070241	9.363861686247921E-4
'rlmL'	'tolA'	0.6142739744514939	9.363861686247921E-4
